Percentage served,Time in ms
0,0.291
1,0.456
2,0.494
3,0.522
4,0.545
5,0.565
6,0.584
7,0.602
8,0.619
9,0.635
10,0.651
11,0.667
12,0.684
13,0.700
14,0.717
15,0.733
16,0.751
17,0.768
18,0.786
19,0.804
20,0.823
21,0.843
22,0.863
23,0.886
24,0.909
25,0.934
26,0.962
27,0.991
28,1.024
29,1.064
30,1.111
31,1.170
32,1.247
33,1.351
34,1.515
35,1.862
36,3.484
37,4.115
38,4.856
39,6.536
40,8.234
41,10.132
42,11.284
43,12.476
44,13.800
45,15.512
46,16.901
47,17.860
48,18.584
49,19.442
50,20.303
51,21.128
52,21.938
53,22.918
54,23.855
55,24.559
56,25.214
57,25.924
58,26.400
59,26.885
60,27.310
61,27.638
62,27.924
63,28.172
64,28.419
65,28.666
66,28.902
67,29.145
68,29.360
69,29.567
70,29.775
71,29.990
72,30.213
73,30.448
74,30.708
75,30.956
76,31.206
77,31.484
78,31.733
79,31.970
80,32.203
81,32.443
82,32.679
83,32.917
84,33.165
85,33.430
86,33.704
87,33.967
88,34.259
89,34.545
90,34.872
91,35.343
92,36.007
93,36.696
94,37.350
95,38.029
96,39.335
97,1007.185
98,1017.634
99,1023.463
100,7270.027
