	calico	calico_vxlan	canal	cilium	flannel	kuberouter	weavenet
50%	15	21	15	22	14	18	15
66%	15	22	16	23	15	18	16
75%	15	23	16	23	15	19	17
80%	16	23	17	24	15	20	17
90%	17	24	18	25	16	21	18
95%	17	26	19	27	17	22	19
98%	18	27	20	29	18	23	21
99%	18	28	21	30	19	24	22
100%	24	62	39	71	1022	31	29
