	calico	calico_vxlan	canal	cilium	flannel	kuberouter	weavenet
0	63	3	162	171	259	4870	391
1	90	28	0	0	0	4354	99
2	0	342	110	0	0	3604	0
3	0	9180	0	0	0	4316	0
4	0	319	0	0	0	3225	13
5	0	8	0	0	0	3948	0
6	0	215	0	0	0	2893	0
7	0	1303	0	0	403	1980	0
8	0	1413	0	659	0	2190	0
9	0	78	37	0	0	2183	0
10	0	210	0	0	0	1973	0
11	0	206	0	0	0	2277	0
12	0	394	0	0	0	1916	0
13	0	2417	0	0	0	2964	0
14	0	687	0	0	0	1691	0
15	0	382	0	0	46	1790	0
16	0	1000	0	0	192	1516	0
17	0	1093	0	0	0	1549	0
18	0	237	0	0	0	1997	0
19	0	414	0	0	0	1799	0
20	0	110	0	0	0	1521	0
21	0	2168	0	0	0	1800	0
22	445	620	0	0	0	1633	0
23	0	1956	0	0	0	1299	0
24	0	92	0	0	0	1742	0
25	0	218	0	0	6	2119	0
26	118	0	0	0	0	1665	0
27	0	0	89	765	0	1943	0
28	0	0	0	0	0	1737	0
29	0	0	0	0	0	1965	0
30	0	0	0	0	0	1412	0
31	0	168	0	0	0	2124	0
32	0	0	0	0	0	1638	0
33	0	0	0	0	0	1710	0
34	0	0	0	0	0	1422	0
35	0	0	0	0	0	1833	0
36	0	0	0	0	0	1783	0
37	0	10	0	0	0	1455	0
38	0	46	0	0	0	1894	0
39	0	66	0	0	0	1424	0
40	0	39	0	0	3359	1684	0
41	0	0	0	0	0	1696	0
42	0	0	0	0	0	1629	0
43	0	0	0	0	0	1875	0
44	0	0	0	0	86	1721	0
45	0	0	0	0	0	1784	0
46	0	94	0	0	0	2554	0
47	0	72	0	0	0	2136	0
48	0	0	0	0	0	1229	0
49	0	0	128	0	0	1445	0
50	0	0	0	0	0	1627	0
51	0	0	0	0	0	1766	0
52	0	0	0	8	0	1498	0
53	0	28	0	0	0	1509	0
54	0	0	0	0	0	1503	0
55	0	0	0	0	0	1566	0
56	0	202	0	4	0	1378	0
57	0	2055	0	0	0	1375	0
58	0	807	0	0	0	1802	0
59	0	86	0	0	0	2242	0
