cni    Average Packets per second
calico    114876.05000000000000000000
calico_vxlan    90165.33333333333333333333
canal    108508.25000000000000000000
cilium    118019.86666666666666666666
flannel    138434.61666666666666666666
kuberouter    86055.26666666666666666666
weavenet    141300.71666666666666666666
