cni    Average Packets per second
calico    143891.50000000000000000000
calico_vxlan    100880.33333333333333333333
canal    161062.91666666666666666666
cilium    144532.55000000000000000000
flannel    169250.03333333333333333333
kuberouter    124432.06666666666666666666
weavenet    172858.86666666666666666666
