	calico	calico_vxlan	canal	cilium	flannel	kuberouter	weavenet
0	1222	941	1207	976	1624	1171	1090
1	1235	926	1219	988	1586	1175	1075
2	1235	944	1212	995	1618	1175	1122
3	1225	943	1211	1005	1618	1126	997
4	1238	951	1238	952	1601	1118	1046
5	1238	946	1208	982	1609	1175	1072
6	1234	941	1200	941	1604	1157	1092
7	1247	935	1213	987	1610	1178	1068
8	1216	933	1221	1001	1609	1170	1075
9	1230	943	1230	986	1597	1135	1084
10	1248	941	1212	928	1602	1154	1132
11	1239	932	1210	949	1605	1176	1088
12	1238	936	1214	958	1605	1171	1097
13	1223	947	1210	845	1614	1173	1061
14	1218	952	1242	941	1609	1169	1083
15	1223	937	1202	922	1620	1129	1109
16	1222	945	1232	973	1619	1109	1060
17	1213	942	1219	1007	1619	1174	1054
18	1236	943	1226	950	1616	1175	1085
19	1219	961	1215	963	1586	1133	1068
20	1206	935	1228	1002	1600	1171	1039
21	1270	932	1240	1007	1599	1175	1088
22	1546	954	1218	982	1595	1175	1045
23	1546	950	1200	1008	1578	1015	1019
24	1554	954	1220	949	1601	1168	1074
25	1568	944	1181	988	1601	1174	1029
26	1547	934	1217	992	1599	1179	1088
27	1578	931	1211	990	1604	1171	1033
28	1566	909	1221	968	1610	1172	1080
29	1561	944	1209	1004	1614	1161	1076
30	1556	939	1203	1000	1619	1162	1060
31	1551	932	1219	910	1589	1158	1018
32	1577	936	1216	909	1415	1143	1039
33	1574	927	1220	987	1225	1164	1079
34	1578	951	1223	985	1224	1178	1062
35	1558	947	1204	985	1213	1177	1080
36	1410	947	1223	1001	1211	1174	1084
37	1253	933	1195	1003	1250	1141	1040
38	1245	947	1201	989	1230	1145	1043
39	1243	936	1557	942	1252	1179	1045
40	1254	933	1566	950	1268	1035	1096
41	1246	944	1572	987	1247	1115	1060
42	1256	939	1573	996	1245	1178	1112
43	1239	925	1578	947	1252	1178	1020
44	1215	948	1576	1004	1245	1164	1053
45	1223	944	1554	989	1229	1169	1023
46	1216	889	1562	967	1252	1171	1058
47	1214	897	1541	970	1250	1169	1051
48	1225	910	1550	955	1269	1150	1048
49	1233	906	1546	1002	1276	1163	1058
50	1220	920	1551	983	1258	1142	1102
51	1229	877	1578	983	1246	1163	1078
52	1239	924	1580	973	1257	1170	1079
53	1239	907	1584	975	1228	1170	1079
54	1243	937	1579	890	1213	1165	1016
55	1233	918	1569	984	1273	1169	1075
56	1233	893	1582	966	1247	1173	1073
57	1228	906	1345	915	1276	1168	1027
58	1231	915	1207	981	1263	1135	1092
59	1238	925	1203	978	1258	1177	1113
