cni    Average Packets per second
calico    106456.40000000000000000000
calico_vxlan    123052.35000000000000000000
canal    105151.60000000000000000000
cilium    94738.75000000000000000000
flannel    112820.00000000000000000000
kuberouter    104964.00000000000000000000
weavenet    128826.66666666666666666666
