	calico	calico_vxlan	canal	cilium	flannel	kuberouter	weavenet
50%	22	32	22	44	22	21	33
66%	31	33	29	46	28	28	34
75%	33	34	32	47	30	32	35
80%	34	34	33	48	31	34	35
90%	37	35	35	50	34	37	36
95%	40	36	39	52	37	42	37
98%	1036	38	1036	55	1036	1036	39
99%	1046	40	1045	56	1046	1046	41
100%	15380	1060	7313	64	15321	15341	1043
