cni    Average Packets per second
calico    138311.21666666666666666666
calico_vxlan    145630.60000000000000000000
canal    121600.65000000000000000000
cilium    119266.43333333333333333333
flannel    143551.86666666666666666666
kuberouter    157911.70000000000000000000
weavenet    143923.33333333333333333333
