	calico	calico_vxlan	canal	cilium	flannel	kuberouter	weavenet
0	18138	17032	17773	16916	17846	17979	16813
1	19110	18800	18622	17499	20174	18418	17865
2	19136	19383	19256	17414	20316	18115	17773
3	19367	18727	19383	16885	19209	18234	17806
4	19493	18661	19687	17017	17924	18434	17401
5	19395	18743	19305	16948	18139	18497	17570
6	19413	18769	19336	16604	18301	18528	17784
7	19305	18928	19626	16970	18361	18498	17549
8	19345	18990	19528	16860	18098	17480	17381
9	19243	18111	19293	16899	18066	16954	17574
10	19482	18092	20079	16866	18266	16882	17906
11	19774	18505	19815	16952	18296	16691	17178
12	19723	18274	17526	16729	18214	17084	16815
13	19580	18244	17480	16647	18182	17364	16955
14	19583	17576	17558	16896	18461	17186	17118
15	19527	16717	17490	16933	18366	17498	16996
16	19564	16473	17758	17031	18232	17482	17061
17	19218	16263	17482	17155	17764	17371	17218
18	19264	16242	17026	17134	17470	17313	16820
19	19360	15551	18446	16923	17731	17441	16692
20	19601	16803	18126	9910	18075	16693	16920
21	18956	16552	17914	9238	17704	16694	16835
22	18957	16925	17511	9070	17672	15917	17029
23	18868	16175	17679	9259	18022	16411	17165
24	18768	16159	17673	9280	18150	16261	16777
25	18869	16738	17622	9227	18524	16422	16903
26	18954	17197	17320	9258	18440	16955	16995
27	18852	16914	17458	9248	17958	16399	17031
28	18833	17221	17610	9260	17703	16365	16921
29	13023	17338	17793	9228	17569	16505	16936
30	9186	16914	17518	9290	17063	16601	16905
31	9186	16861	17584	9227	15834	17186	17249
32	9164	17186	17378	9259	17105	17008	17067
33	9123	16451	10843	9228	9616	16986	17106
34	9154	16501	9322	9267	9122	17396	16860
35	9164	17117	9175	9114	9187	17208	16790
36	9133	17513	9291	9080	9130	10685	16934
37	9144	17148	9206	9144	9178	9038	16816
38	9142	16951	9269	9123	9185	9029	16997
39	9166	16550	9207	9102	9175	9018	16854
40	9123	17088	9249	9080	9154	9039	16762
41	9112	17142	9217	9070	9174	9007	16813
42	9112	17419	9269	9165	9123	9007	10990
43	9080	17041	9217	9081	9154	9018	9112
44	9112	17205	9218	9102	9123	9060	9100
45	9070	14229	9236	9080	9152	9007	9113
46	9121	9248	9208	9102	9167	8996	9133
47	9041	9186	9237	9102	9028	9028	9091
48	9091	9196	9124	9070	9131	9029	9091
49	9091	9130	9059	9102	9048	9018	9112
50	9060	9186	9123	9089	9083	9039	9070
51	9057	9157	9059	9061	9018	8996	9142
52	9084	9206	9092	9081	9070	9040	9104
53	9079	9162	9070	9039	9102	9037	9049
54	9050	9165	9058	9102	9038	9008	9143
55	9080	9199	9072	9049	9091	9037	9070
56	9040	9174	9101	8987	9028	9041	9142
57	9102	9165	9018	9008	9091	9038	9009
58	9060	9185	9039	9048	9028	8987	9008
59	9057	9150	9028	9025	9059	9039	9007
