	calico	calico_vxlan	canal	cilium	flannel	kuberouter	weavenet
0	136100	225844	150639	141780	142140	246450	166010
1	138200	231485	124060	117900	143340	260248	143180
2	139900	242358	121580	119500	143820	168409	143140
3	140600	195241	122600	119280	144420	153200	143980
4	140020	140640	122680	119686	144620	156440	144000
5	139740	138440	123660	118740	144360	155200	142200
6	140720	139560	118340	120840	144920	154300	141460
7	141880	140900	116840	120340	145160	157875	142280
8	142440	141460	125300	119240	143000	155520	144100
9	141020	140660	125300	118820	142840	157200	144940
10	139740	139040	125420	120360	143340	156160	145920
11	139280	139711	123400	118840	144960	157020	144580
12	137920	140200	122840	118140	142620	155540	146000
13	139460	140780	116740	118620	143320	154560	142560
14	140480	141600	125340	117960	144320	155400	142280
15	140260	140780	120920	119680	144760	151720	145300
16	140300	138720	121060	118860	143780	152400	144480
17	139284	138000	123660	118780	142840	151620	143600
18	140400	137140	123380	119420	142260	151180	145760
19	138760	139580	123200	119220	142900	154020	145680
20	139836	140120	120760	119080	143740	155060	143300
21	138680	139420	105700	117120	143360	154920	140760
22	138420	139760	121740	117200	142380	156320	142500
23	141720	135620	112340	117460	143200	155520	144820
24	140140	135400	121780	118280	142260	155580	144220
25	137460	138100	120960	118920	143620	152960	144994
26	137500	139200	109300	118320	143340	153720	143980
27	139200	139120	123120	118880	142780	153760	144600
28	137900	139600	123540	120300	142920	151540	143340
29	137520	140880	121700	118280	143400	155560	142560
30	137780	139380	123940	118740	144320	154780	144320
31	135600	140960	120280	115460	143060	153760	143540
32	140000	140180	123480	119160	142500	154060	143840
33	140840	138460	121960	118640	142900	151820	144820
34	140820	139920	124540	117720	141260	151880	144120
35	139100	140240	117120	119060	142840	152180	144760
36	137500	140860	121140	119660	141340	152760	143020
37	139380	139380	120660	118980	141220	154140	142480
38	140320	141200	121160	119900	141140	154160	145358
39	139680	140460	126240	119440	142820	154760	143760
40	139980	140420	123720	120100	143080	154360	145380
41	138840	139960	124700	119640	142340	153220	144053
42	137340	138760	113580	119840	144780	154420	142540
43	139380	138420	115360	119880	144940	153900	142300
44	139020	139260	121200	120220	144900	155580	142032
45	140053	138120	126100	119520	144500	156580	142000
46	140620	139400	124640	119640	145120	157380	144400
47	138220	142360	118360	119980	144240	155640	143760
48	139180	141760	117660	117160	144180	152240	142280
49	136600	142160	124840	118440	143560	154460	142840
50	127200	141000	122420	118380	144980	155380	143020
51	128180	142280	119060	117300	143840	156020	141980
52	132020	140120	116000	116640	142920	155040	141600
53	124380	140897	115020	117960	144400	154900	142940
54	127980	142180	122340	119340	144340	154260	144380
55	140060	142360	120162	119760	145200	151640	142380
56	139180	142260	123700	119180	145860	154520	143660
57	138760	139740	124600	118580	144600	154340	144040
58	138920	143220	123520	118620	143460	152080	142940
59	136860	142760	120640	119200	143760	155040	140360
