Percentile	calico	calico_vxlan	canal	cilium	flannel	kuberouter	weavenet
50%	  50%     21	  50%     20	  50%     20	  50%     22	  50%     20	  50%     21	  50%     20
66%	  66%     21	  66%     21	  66%     21	  66%     24	  66%     21	  66%     21	  66%     21
75%	  75%     21	  75%     21	  75%     21	  75%     24	  75%     21	  75%     21	  75%     21
80%	  80%     21	  80%     21	  80%     21	  80%     25	  80%     21	  80%     21	  80%     21
90%	  90%     22	  90%     21	  90%     21	  90%     26	  90%     21	  90%     22	  90%     22
95%	  95%     22	  95%     21	  95%     22	  95%     28	  95%     21	  95%     22	  95%     22
98%	  98%     23	  98%     22	  98%     22	  98%     30	  98%     22	  98%     22	  98%     23
99%	  99%     23	  99%     23	  99%     22	  99%     31	  99%     23	  99%     23	  99%     23
100%	 100%   1028 	 100%     31 	 100%     34 	 100%     41 	 100%   1031 	 100%     32 	 100%     31 
