Connecting to host 10.10.0.6, port 30000
[  5] local 10.244.1.2 port 36544 connected to 10.10.0.6 port 30000
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec   360 MBytes  3019 Mbits/sec    5   8.06 MBytes       
[  5]   1.00-2.00   sec   392 MBytes  3293 Mbits/sec    0   8.06 MBytes       
[  5]   2.00-3.00   sec   398 MBytes  3334 Mbits/sec    0   8.06 MBytes       
[  5]   3.00-4.00   sec   392 MBytes  3293 Mbits/sec    0   8.06 MBytes       
[  5]   4.00-5.00   sec   392 MBytes  3293 Mbits/sec    0   8.06 MBytes       
[  5]   5.00-6.00   sec   394 MBytes  3303 Mbits/sec    0   8.06 MBytes       
[  5]   6.00-7.00   sec   392 MBytes  3293 Mbits/sec    0   8.06 MBytes       
[  5]   7.00-8.00   sec   392 MBytes  3293 Mbits/sec    0   8.06 MBytes       
[  5]   8.00-9.00   sec   392 MBytes  3293 Mbits/sec    0   8.06 MBytes       
[  5]   9.00-10.00  sec   389 MBytes  3261 Mbits/sec    0   8.06 MBytes       
[  5]  10.00-11.00  sec   370 MBytes  3104 Mbits/sec  353   4.00 MBytes       
[  5]  11.00-12.00  sec   322 MBytes  2705 Mbits/sec  254   2.89 MBytes       
[  5]  12.00-13.00  sec   295 MBytes  2475 Mbits/sec    0   3.03 MBytes       
[  5]  13.00-14.00  sec   306 MBytes  2569 Mbits/sec    0   3.15 MBytes       
[  5]  14.00-15.00  sec   316 MBytes  2653 Mbits/sec    0   3.23 MBytes       
[  5]  15.00-16.00  sec   325 MBytes  2726 Mbits/sec    0   3.30 MBytes       
[  5]  16.00-17.00  sec   329 MBytes  2758 Mbits/sec    0   3.34 MBytes       
[  5]  17.00-18.00  sec   332 MBytes  2789 Mbits/sec    0   3.37 MBytes       
[  5]  18.00-19.00  sec   339 MBytes  2842 Mbits/sec    0   3.39 MBytes       
[  5]  19.00-20.00  sec   339 MBytes  2842 Mbits/sec    0   3.40 MBytes       
[  5]  20.00-21.00  sec   342 MBytes  2873 Mbits/sec    0   3.47 MBytes       
[  5]  21.00-22.00  sec   348 MBytes  2915 Mbits/sec    0   3.55 MBytes       
[  5]  22.00-23.00  sec   355 MBytes  2977 Mbits/sec    0   3.62 MBytes       
[  5]  23.00-24.00  sec   361 MBytes  3031 Mbits/sec    0   3.69 MBytes       
[  5]  24.00-25.00  sec   370 MBytes  3104 Mbits/sec    0   3.75 MBytes       
[  5]  25.00-26.00  sec   379 MBytes  3177 Mbits/sec    0   3.82 MBytes       
[  5]  26.00-27.00  sec   384 MBytes  3219 Mbits/sec    0   3.89 MBytes       
[  5]  27.00-28.00  sec   390 MBytes  3272 Mbits/sec    0   3.96 MBytes       
[  5]  28.00-29.00  sec   396 MBytes  3324 Mbits/sec    0   4.00 MBytes       
[  5]  29.00-30.00  sec   398 MBytes  3334 Mbits/sec    0   4.00 MBytes       
[  5]  30.00-31.00  sec   394 MBytes  3303 Mbits/sec    0   4.00 MBytes       
[  5]  31.00-32.00  sec   398 MBytes  3334 Mbits/sec    0   4.00 MBytes       
[  5]  32.00-33.00  sec   399 MBytes  3345 Mbits/sec    0   4.00 MBytes       
[  5]  33.00-34.00  sec   396 MBytes  3324 Mbits/sec    0   4.00 MBytes       
[  5]  34.00-35.00  sec   395 MBytes  3314 Mbits/sec    0   4.00 MBytes       
[  5]  35.00-36.00  sec   395 MBytes  3313 Mbits/sec    0   4.09 MBytes       
[  5]  36.00-37.00  sec   395 MBytes  3314 Mbits/sec    0   4.09 MBytes       
[  5]  37.00-38.00  sec   392 MBytes  3293 Mbits/sec    0   4.09 MBytes       
[  5]  38.00-39.00  sec   391 MBytes  3282 Mbits/sec    0   4.09 MBytes       
[  5]  39.00-40.00  sec   392 MBytes  3293 Mbits/sec    0   4.09 MBytes       
[  5]  40.00-41.00  sec   395 MBytes  3313 Mbits/sec    0   4.09 MBytes       
[  5]  41.00-42.00  sec   395 MBytes  3314 Mbits/sec    0   4.09 MBytes       
[  5]  42.00-43.00  sec   398 MBytes  3334 Mbits/sec    0   4.09 MBytes       
[  5]  43.00-44.00  sec   398 MBytes  3334 Mbits/sec    0   4.09 MBytes       
[  5]  44.00-45.00  sec   396 MBytes  3324 Mbits/sec    0   4.09 MBytes       
[  5]  45.00-46.00  sec   399 MBytes  3345 Mbits/sec    0   4.09 MBytes       
[  5]  46.00-47.00  sec   398 MBytes  3334 Mbits/sec    0   4.09 MBytes       
[  5]  47.00-48.00  sec   399 MBytes  3345 Mbits/sec    0   4.09 MBytes       
[  5]  48.00-49.00  sec   391 MBytes  3282 Mbits/sec    0   4.09 MBytes       
[  5]  49.00-50.00  sec   398 MBytes  3334 Mbits/sec    0   4.09 MBytes       
[  5]  50.00-51.00  sec   396 MBytes  3324 Mbits/sec    0   4.09 MBytes       
[  5]  51.00-52.00  sec   394 MBytes  3303 Mbits/sec    0   4.09 MBytes       
[  5]  52.00-53.00  sec   392 MBytes  3293 Mbits/sec    0   4.09 MBytes       
[  5]  53.00-54.00  sec   395 MBytes  3313 Mbits/sec    0   4.09 MBytes       
[  5]  54.00-55.00  sec   398 MBytes  3334 Mbits/sec    0   4.09 MBytes       
[  5]  55.00-56.00  sec   399 MBytes  3345 Mbits/sec    0   4.09 MBytes       
[  5]  56.00-57.00  sec   398 MBytes  3334 Mbits/sec    0   4.09 MBytes       
[  5]  57.00-58.00  sec   398 MBytes  3334 Mbits/sec    0   4.09 MBytes       
[  5]  58.00-59.00  sec   396 MBytes  3324 Mbits/sec    0   4.09 MBytes       
[  5]  59.00-60.00  sec   398 MBytes  3334 Mbits/sec    0   4.09 MBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  5]   0.00-60.00  sec  22.2 GBytes  3183 Mbits/sec  612             sender
[  5]   0.00-60.01  sec  22.2 GBytes  3182 Mbits/sec                  receiver

iperf Done.
