	calico	calico_vxlan	canal	cilium	flannel	kuberouter	weavenet
0	12006	8945	9912	13681	11050	55.2	10093
1	13716	9847	9942	14315	13950	54.0	14355
2	10853	10011	10346	11152	12717	59.2	7989
3	10651	9681	12565	14853	14167	69.9	9349
4	10478	9751	16768	10265	13013	54.0	9956
5	11240	10005	15695	9465	14072	60.1	9878
6	9991	9783	15547	9470	12698	67.3	9783
7	12416	9593	14871	9699	13722	61.2	9643
8	9909	9439	15540	9555	12807	62.2	9409
9	11273	9415	13285	9878	13936	62.7	8605
10	11471	9719	10035	9906	13494	56.0	9122
11	15110	9807	10393	9691	14398	58.6	9054
12	14492	10318	10402	9667	14040	65.3	9280
13	11397	10119	10402	9803	15823	51.4	9456
14	12971	10408	10250	9597	11650	49.4	8756
15	16809	10060	9935	9343	15068	61.7	8116
16	16270	10328	10139	9699	14753	71.5	9436
17	12796	9371	9941	9677	13244	86.9	11084
18	11209	12529	10349	9865	12824	57.6	10429
19	15215	15111	10400	9367	12541	58.1	9240
20	17038	14880	10004	9446	16590	66.3	9626
21	13591	14892	10498	9586	13838	53.5	9188
22	12751	14136	10412	9814	14567	58.1	9017
23	11902	14084	10067	9547	11146	62.2	8893
24	10968	15214	10443	9652	10979	63.2	9562
25	11953	14418	10285	10024	11880	76.1	9508
26	11314	13977	10331	11357	11021	62.2	9064
27	11042	12311	10486	14313	11335	57.6	9108
28	10674	12697	9993	14678	11954	75.1	8906
29	11126	15638	9762	13784	15978	59.6	8556
30	10674	15023	9290	14760	15668	51.4	8851
31	12951	14965	10496	12865	15309	57.6	8838
32	11353	15197	10559	15717	15284	60.1	9512
33	12680	12324	10234	13360	17596	61.7	9392
34	10885	10047	10067	15540	14054	59.6	9386
35	11303	9960	10570	12099	18327	62.7	12680
36	11104	9806	14279	12613	14787	69.9	11136
37	11660	10086	15370	14867	16494	72.0	11805
38	11220	9837	17722	13478	14198	64.3	9836
39	12310	9889	16687	12626	15869	77.1	11785
40	17651	10043	16149	9656	14066	74.5	10340
41	13219	10004	17707	9554	15761	64.3	11556
42	11188	9782	11851	9333	11449	64.3	13512
43	11367	9891	14140	9541	13192	66.8	12716
44	11010	12653	14811	9979	14051	61.7	13553
45	10905	15072	14963	13673	11471	77.1	13546
46	10895	11668	13884	14203	11333	56.6	12976
47	12709	9932	14237	14130	11735	75.1	12018
48	10056	12888	10771	15088	10798	64.3	10985
49	11115	14277	10202	13327	11157	51.4	11410
50	15120	12386	9813	14157	11012	61.7	13965
51	11628	9772	10917	16381	12767	69.9	13789
52	13988	9908	10465	14761	12366	66.8	10513
53	13789	10088	9730	14046	14136	54.0	13394
54	14607	10958	9727	11688	12950	54.0	15102
55	13537	13734	13903	9545	12069	59.1	15302
56	15109	10384	16643	9385	12111	54.0	14123
57	12961	10106	15588	9111	11346	54.0	13171
58	11293	10077	12648	9331	11377	75.1	12457
59	10989	10185	10349	9467	11901	79.7	15774
