Percentile	calico	calico_vxlan	canal	cilium	flannel	kuberouter	weavenet
50%	  50%     16	  50%     18	  50%     18	  50%     47	  50%     14	  50%     12	  50%     43
66%	  66%     24	  66%     28	  66%     26	  66%     49	  66%     24	  66%     17	  66%     47
75%	  75%     26	  75%     31	  75%     28	  75%     50	  75%     26	  75%     20	  75%     49
80%	  80%     27	  80%     32	  80%     31	  80%     51	  80%     27	  80%     22	  80%     51
90%	  90%     29	  90%     36	  90%     36	  90%     54	  90%     30	  90%     26	  90%     55
95%	  95%     33	  95%     38	  95%     41	  95%     56	  95%     32	  95%     31	  95%     59
98%	  98%   1018	  98%   1019	  98%   1019	  98%     58	  98%   1016	  98%   1016	  98%     64
99%	  99%   1025	  99%   1026	  99%   1027	  99%     60	  99%   1024	  99%   1024	  99%     67
100%	 100%   7291 	 100%   7304 	 100%   7300 	 100%     66 	 100%   7304 	 100%   7296 	 100%   1214 
