cni    Average Packets per second
calico    91602.58333333333333333333
calico_vxlan    105869.25000000000000000000
canal    88169.86666666666666666666
cilium    77533.90000000000000000000
flannel    87700.56666666666666666666
kuberouter    91082.53333333333333333333
weavenet    110014.96666666666666666666
