cni    Average Packets per second
calico    144386.53333333333333333333
calico_vxlan    161595.46666666666666666666
canal    170792.65000000000000000000
cilium    154187.00000000000000000000
flannel    192611.40000000000000000000
kuberouter    229323.05000000000000000000
weavenet    164403.65000000000000000000
