	calico	calico_vxlan	canal	cilium	flannel	kuberouter	weavenet
50%	15	17	16	20	13	13	14
66%	16	17	17	21	14	14	15
75%	16	18	17	22	14	15	15
80%	17	18	18	22	15	15	15
90%	18	19	18	23	15	17	16
95%	18	20	19	25	16	18	17
98%	19	21	20	26	17	19	18
99%	20	21	20	27	18	20	18
100%	25	32	1041	34	1040	1034	25
