cni    Packet Loss (%)
calico    0%
0%
0%
0%
0%
0%
0%
0%
0%
0%
0%
0%
0%
0%
0%
0%
0%
0%
0%
0%
calico_vxlan    0%
0%
0%
0%
0%
0%
0%
0%
0%
0%
0%
0%
0%
0%
0%
0%
0%
0%
0%
0%
canal    0%
0%
0%
0%
0%
0%
0%
0%
0%
0%
0%
0%
0%
0%
0%
0%
0%
0%
0%
0%
cilium    0%
0%
0%
0.059%
0%
0%
0.059%
0%
0%
0%
0%
0%
0.059%
0%
0%
0%
0%
0.059%
0%
0.059%
flannel    0%
0%
0%
0%
0%
0.00019%
0%
0.00039%
0.014%
0%
0%
0%
0%
0.014%
0%
0%
0%
0.00019%
0%
0%
kuberouter    0%
0%
0%
0%
0%
0%
0%
0%
0.00026%
0%
0%
0%
0%
0%
0%
0%
0%
0%
0%
0%
weavenet    0.14%
0.14%
0.14%
0.11%
0.11%
0.11%
0.11%
0.11%
0.11%
0.11%
0.11%
0.11%
0.11%
0.11%
0.11%
0.11%
0.11%
0.11%
0.11%
0.11%
