	calico	calico_vxlan	canal	cilium	flannel	kuberouter	weavenet
0	184167	242158	203847	153540	197762	236044	158865
1	174140	240967	171240	154040	193200	226973	168560
2	172420	186220	164620	154120	192660	229390	160280
3	174340	188020	166320	153200	193280	231342	162100
4	174940	185720	171760	152840	193380	230512	163940
5	171760	186340	172820	153780	193276	235407	168020
6	172220	187680	170820	153960	190700	238916	159460
7	171400	187500	149700	153320	191980	233442	165500
8	168720	185420	132680	153220	192400	224300	154840
9	172620	186180	163360	153067	193520	233382	162620
10	168420	184572	172800	154100	193880	232114	162200
11	172120	187840	169620	153480	195280	235176	166820
12	175140	187580	171980	153980	193960	230639	164540
13	174780	187340	172600	154520	194560	233096	158800
14	174520	183100	172560	153200	193100	230044	161760
15	175860	182780	169380	153840	193840	232131	163780
16	174500	187420	173300	152300	192920	233654	167980
17	175940	186560	172040	153800	192240	232792	167700
18	139400	185040	173600	154140	191740	233213	158840
19	132640	183120	173040	153800	193080	233820	168780
20	133520	186280	171680	153360	194120	230215	161660
21	133400	186160	173940	152120	194100	229603	166640
22	136020	144080	170240	149340	193740	216505	160340
23	135320	142320	171900	151320	192820	230573	162140
24	131360	145000	173880	151920	193500	232260	158840
25	133760	146471	171120	150760	193760	214772	165120
26	130840	145180	170900	151020	192960	210794	171060
27	132200	145260	168080	153680	192160	229700	159240
28	132765	145380	172680	153880	191440	224016	156240
29	133400	144200	171160	154200	190320	222921	162060
30	131980	144440	170860	153424	189840	220104	170793
31	130540	145700	167260	153860	189740	226387	162080
32	130280	146000	167480	154180	189060	221621	160900
33	127980	145460	170400	154080	193460	228804	166040
34	130900	142640	169220	154165	190200	225085	163900
35	131280	142320	169280	154320	193400	234831	166800
36	130220	143700	168140	153480	187720	224543	168960
37	131560	143080	169520	170243	190840	211463	164280
38	133100	143060	172580	205043	191680	230639	166940
39	130480	143140	172440	150784	189340	235229	162040
40	130460	145380	171337	153140	189280	233603	173720
41	131560	146120	175938	151800	189800	237158	163940
42	131340	145040	171440	151120	190460	228804	160209
43	134140	146020	173720	152840	190840	227928	168169
44	130380	144940	172520	153720	193960	229342	166580
45	133200	143940	172200	152760	194060	228730	167540
46	133240	144760	171860	152360	194400	223014	165540
47	130740	147200	171580	153980	193820	227793	162101
48	130820	145740	170979	154000	192937	233686	161540
49	126500	142920	171800	152180	191160	234592	172123
50	130560	144500	172120	150634	193520	235642	201159
51	130480	143540	172520	150900	193340	227385	166740
52	131060	145080	171958	150800	193860	231862	160220
53	132620	143200	172780	151200	194100	224273	158980
54	131460	143500	173540	153060	193940	234169	165200
55	132020	144620	170860	153900	193600	225029	167780
56	132700	144020	172660	153820	194180	233383	161360
57	130540	145400	171200	154460	193120	220930	159720
58	128400	146040	172960	153580	192980	244494	155780
59	130020	142340	172740	153540	192369	231114	164360
